model,accuracy,precision,recall,f1_score,roc_auc,best_params,cv_best_score
SVM,0.5964285714285714,0.3557270408163265,0.5964285714285714,0.4456535634387983,0.5827990037623867,"{'model__kernel': 'rbf', 'model__gamma': 'auto', 'model__C': 10.0}",0.5647411048533256
Logistic Regression,0.5964285714285714,0.565998243559719,0.5964285714285714,0.52995418419168,0.565020401674527,{'model__C': 0.1},0.5774640170487999
XGBoost,0.5928571428571429,0.5769327235826397,0.5928571428571429,0.5770769453632391,0.5560383657463833,"{'model__subsample': 0.8, 'model__n_estimators': 400, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.5646713230783481
Random Forest,0.5964285714285714,0.3557270408163265,0.5964285714285714,0.4456535634387983,0.5385247204705633,"{'model__n_estimators': 500, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_depth': 12}",0.5738272427830278
