antibiotic_class,selected_model,recall,accuracy,f1_score,roc_auc
aminoglycoside,svm,1.0,0.6666666666666666,0.8,0.6242603550295858
beta-lactam,xgboost,1.0,0.7111111111111111,0.8142857142857143,0.6661350345560872
fluoroquinolone,naive_bayes,0.6666666666666666,0.6097560975609756,0.6,0.6231884057971014
macrolide,svm,0.7142857142857143,0.75,0.7692307692307693,0.8317460317460318
sulfonamide,svm,1.0,0.4838709677419355,0.6521739130434783,0.3125
tetracycline,svm,1.0,0.6976744186046512,0.821917808219178,0.7487179487179487
